"id","title","author","poem_body","dynasty","tac","appreciation","background","self_intro"
66,集灵台·其二,张祜,"
虢国夫人承主恩，平明骑马入宫门。却嫌脂粉污颜色，淡扫蛾眉朝至尊。
",唐代,译文虢国夫人受到皇上的宠恩，大清早就骑马进入了宫门。只嫌脂粉会玷污她的美艳，淡描蛾眉就进去朝见至尊。注解虢国夫人：杨贵妃三姊的封号。平明：天刚亮时。,"","",张祜 字承吉，邢台清河人，唐代著名诗人。出生在清河张氏望族，家世显赫，被人称作张公子，有“海内名士”之誉。张祜的一生，在诗歌创作上取得了卓越成就。“故国三千里，深宫二十年”张祜以是得名，《全唐诗》收录其349首诗歌。► 355篇诗文
67,枫桥夜泊,张继,"
月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。
",唐代,译文月亮已落下乌鸦啼叫寒气满天，江边枫树与船上渔火，难抵我独自傍愁而眠。姑苏城外那寂寞清静寒山古寺，半夜里敲响的钟声传到了我乘坐的客船。注释枫桥：在今苏州市阊门外。夜泊：夜间把船停靠在岸边。乌啼：一说为乌鸦啼鸣，一说为乌啼镇。霜满天：霜，不可能满天，这个“霜”字应当体会作严寒；霜满天，是空气极冷的形象语。江枫：一般解释作“江边枫树”，江指吴淞江，源自太湖，流经上海，汇入长江，俗称苏州河。另外有人认为指“江村桥”和“枫桥”。“枫桥”在吴县南门（阊阖门）外西郊，本名“封桥”，因张继此诗而改为,"这首七绝，是大历诗歌中最著名之作。全诗以一愁字统起。前二句意象密集：落月、啼乌、满天霜、江枫、渔火、不眠人，造成一种意韵浓郁的审美情境。这二句既描写了秋夜江边之景,又表达了作者思乡之情。后两句意象疏宕：城、寺、船、钟声，是一种空灵旷远的意境。夜行无月，本难见物，而渔火醒目，霜寒可感；夜半乃阗寂之时，却闻乌啼钟鸣。如此明灭对照，无声与有声的衬托，使景皆为情中之景，声皆为意中之音，意境疏密错落，浑融幽远。一缕淡淡的客愁被点染得朦胧隽永，在姑苏城的夜空中摇曳飘忽，为那里的一桥一水，一寺一城平添了千古风情，吸引着古往今来的寻梦者。《唐诗三集合编》“全篇诗意自‘愁眠’上起，妙在不说出。”《碛砂",创作背景　　天宝十四年一月爆发了安史之乱。因为当时江南政局比较安定，所以不少文士纷纷逃到今江苏、浙江一带避乱，其中也包括张继。一个秋天的夜晚，诗人泊舟苏州城外的枫桥。江南水乡秋夜幽美的景色，吸引着这位怀着旅愁的客子，使写下了这首意境清远的小诗。,张继（约715~约779）字懿孙，汉族，襄州人（今湖北襄阳人）。唐代诗人，他的生平不甚可知。据诸家记录，仅知他是天宝十二年（公元七五三年）的进士。大历中，以检校祠部员外郎为洪州（今江西南昌市）盐铁判官。他的诗爽朗激越，不事雕琢，比兴幽深，事理双切，对后世颇有影响。但可惜流传下来的不到50首。他的最著名的诗是《枫桥夜泊》。► 53篇诗文
68,陇西行四首·其二,陈陶,"
誓扫匈奴不顾身，五千貂锦丧胡尘。可怜无定河边骨，犹是春闺梦里人！(春闺 一作：深闺)
",唐代,译文唐军将士誓死横扫匈奴奋不顾身，五千身穿锦袍的精兵战死在胡尘。真可怜呵那无定河边成堆的白骨，还是少妇们梦中相依相伴的丈夫。注释貂锦：这里指战士，指装备精良的精锐之师。无定河：在陕西北部。春闺：这里指战死者的妻子。匈奴：指西北边境部族。,"","",陈陶(约公元812—约885年)：字嵩伯，号三教布衣。《全唐诗》卷七百四十五“陈陶”传作“岭南(一云鄱阳，一云剑浦)人”。然而从其《闽川梦归》等诗题，以及称建水(在今福建南平市东南，即闽江上游)一带山水为“家山”(《投赠福建路罗中丞》)来看，当是剑浦(今福建南平)人，而岭南(今广东广西一带)或鄱阳(今江西波阳)只是他的祖籍。早年游学长安，善天文历象，尤工诗。举进士不第，遂恣游名山。唐宣宗大中(847—860年)时，隐居洪州西山(在今江西新建县西)，后不知所终。有诗十卷，已散佚，后人辑有《陈嵩伯诗集》一卷。► 122篇诗文
69,杂诗,佚名,"
近寒食雨草萋萋，著麦苗风柳映堤。等是有家归未得，杜鹃休向耳边啼。
",唐代,译文时令将近寒食，春雨绵绵春草萋萋；春风过处苗麦摇摆，堤上杨柳依依。这是为什么呵，我却有家归去不得？杜鹃呵，不要在我耳边不停地悲啼。注释著：吹入。等是：为何。杜鹃：鸟名，即子规。,"","",""
70,回乡偶书二首·其一,贺知章,"
少小离家老大回，乡音无改鬓毛衰。儿童相见不相识，笑问客从何处来。
",唐代,译文年少时离乡老年才归家，我的乡音虽未改变，但鬓角的毛发却已经疏落。家乡的儿童们看见我，没有一个认识我。他们笑着询问我：这客人是从哪里来的呀？注释偶书：随便写的诗。偶：说明诗写作得很偶然，是随时有所见、有所感就写下来的。 少小离家：贺知章三十七岁中进士，在此以前就离开家乡。老大：年纪大了。贺知章回乡时已年逾八十。乡音：家乡的口音。无改：没什么变化。一作“难改”。鬓毛：额角边靠近耳朵的头发。一作“面毛”。衰（cui）：减少，疏落。鬓毛衰：指鬓毛减少，疏落。相见：即看见我；相：带有指代性,这是一首久客异乡、缅怀故里的感怀诗。写于初来乍到之时，抒写久客伤老之情。“少小离家老大回”，诗一开始，就紧扣题目，单刀直入，点明离家与回乡相距年岁之久、时间之遥，其中已蕴藏着很深的感慨。这感慨在同题第二首诗中即有明白的描写：“离别家乡岁月多，近来人事半消磨。惟有门前镜湖水，春风不改旧时波。”山河依旧，人事消磨，将自然的永恒与人生的多变作了鲜明的对照。这里是明写，在“少小离家老大回”中是隐含，表现手法不同，艺术效果也不同。第二句“乡音无改鬓毛衰”用的也是对比法，但不是自然与人生的对比，而是语言与鬓发的对比。语言习惯一经形成，虽经岁月磨砺也难以,创作背景　　贺知章在公元744年（天宝三载），辞去朝廷官职，告老返回故乡越州永兴（今浙江萧山），时已八十六岁，这时，距他中年离乡已有五十多个年头了。人生易老，世事沧桑，心头有无限感慨。,贺知章(659—744)，字季真，号四明狂客，汉族，唐越州（今绍兴）永兴(今浙江萧山)人，贺知章诗文以绝句见长，除祭神乐章、应制诗外，其写景、抒怀之作风格独特，清新潇洒，著名的《咏柳》、《回乡偶书》两首脍炙人口，千古传诵，今尚存录入《全唐诗》共19首。► 26篇诗文
71,瑶瑟怨,温庭筠,"
冰簟银床梦不成，碧天如水夜云轻。 雁声远过潇湘去，十二楼中月自明。
",唐代,译文秋夜床席冰冷梦也难以做成，天空碧蓝如水夜云像沙样轻。雁声凄厉远远地飞过潇湘去，十二楼中的明月空自放光明。注释瑶瑟：玉镶的华美的瑟。冰簟：清凉的竹席。银床：指洒满月光的床。远：一作“还”。过：一作“向”。潇湘：二水名，在今湖南境内。此代指楚地。十二楼：原指神仙的居所，此指女子的住所。,这首诗咏闺怨。全诗没有透出一个“怨”字，只描绘清秋的深夜，主人公凄凉独居、寂寞难眠，以此来表现她深深的幽怨。诗是写女子别离的悲怨，蘅塘退士批注：“通首布景，只梦不成三字露怨意。”诗所写的是梦不成之后之所感、所见、所闻的情景。全诗象是几种衔接紧密的写景镜头，表现了女主人公的心理活动和思想感情。冰簟、银床、碧空、明月、轻云，南雁、潇湘，以至于月光笼罩下的玉楼，组成了一组离人幽怨的秋夜图，渲染了一种和主人公离怨情绪统一和谐的情调和氛围。诗中虽无“怨”字，然而怨意自生。诗的题目和内容都很含蓄。瑶瑟，是玉镶的华美的瑟。瑟声悲怨，相传“泰帝使素女鼓五十,"",温庭筠（约812—866）唐代诗人、词人。本名岐，字飞卿，太原祁（今山西祁县东南）人。富有天才，文思敏捷，每入试，押官韵，八叉手而成八韵，所以也有“温八叉”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，取憎于时，故屡举进士不第，长被贬抑，终生不得志。官终国子助教。精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词艺术成就在晚唐诸词人之上，为“花间派”首要词人，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。存词七十余首。后人辑有《温飞卿集》及《金奁集》。► 432篇诗文
72,月夜 / 夜月,刘方平,"
更深月色半人家，北斗阑干南斗斜。 今夜偏知春气暖，虫声新透绿窗纱。
",唐代,译文夜色深沉，月光斜照半边庭院，北斗星横在天上，南斗星也已西斜。今夜出乎意料的感觉到了初春暖意，还听得春虫叫声穿透绿色窗纱。注释更深：古时计算时间，一夜分成五更。更深，夜深了。月色半人家：月光只照亮了人家房屋的一半，另一半隐藏在黑暗里。北斗：在北方天空排列成斗形的七颗亮星。阑干：这里指横斜的样子。南斗：有星六颗。在北斗星以南，形似斗，故称“南斗”。偏知：才知，表示出乎意料。新：初。新透：第一次透过。,"","",刘方平(758年前后在世)，唐朝河南洛阳人。匈奴族。天宝前期曾应进士试，又欲从军 ，均未如意，从此隐居颍水、汝河之滨，终生未仕。与皇甫冉、元德秀、李颀、严武为诗友，为薪颖士赏识。工诗，善画山水。其诗多咏物写景之作，尤擅绝句，其诗多写闺情、乡思，思想内容较贫弱，但艺术性较高，善于寓情于景，意蕴无穷。其《月夜》 、《春怨》、《新春》、《秋夜泛舟》等都是历来为人传诵的名作。► 26篇诗文
73,春怨,刘方平,"
纱窗日落渐黄昏，金屋无人见泪痕。 寂寞空庭春欲晚，梨花满地不开门。
",唐代,译文纱窗外的阳光淡去，黄昏渐渐降临；锁闭华屋，无人看见我悲哀的泪痕。庭院空旷寂寞，春天景色行将逝尽；梨花飘落满地，无情无绪把门关紧。注释金屋：原指汉武帝少时欲金屋藏阿娇事。这里指妃嫔所住的华丽宫室。,这是一首宫怨诗。点破主题的是诗的第二句“金屋无人见泪痕”。句中的“金屋”，用汉武帝幼小时愿以金屋藏阿娇（陈皇后小名）的典故，表明所写之地是与人世隔绝的深宫，所写之人是幽闭在宫内的少女。下面“无人见泪痕”五字，可能有两重含意：一是其人因孤处一室、无人作伴而不禁下泪；二是其人身在极端孤寂的环境之中，纵然落泪也无人得见，无人同情。这正是宫人命运之最可悲处。句中的“泪痕”两字，也大可玩味。泪而留痕，可见其垂泪已有多时。这里，总共只用了七个字，就把诗中人的身份、处境和怨情都写出了。这一句是全诗的中心句，其他三句则都是环绕这一句、烘托这一句的。起句“纱窗日落渐黄昏”，是使无,"",刘方平(758年前后在世)，唐朝河南洛阳人。匈奴族。天宝前期曾应进士试，又欲从军 ，均未如意，从此隐居颍水、汝河之滨，终生未仕。与皇甫冉、元德秀、李颀、严武为诗友，为薪颖士赏识。工诗，善画山水。其诗多咏物写景之作，尤擅绝句，其诗多写闺情、乡思，思想内容较贫弱，但艺术性较高，善于寓情于景，意蕴无穷。其《月夜》 、《春怨》、《新春》、《秋夜泛舟》等都是历来为人传诵的名作。► 26篇诗文
74,乌衣巷,刘禹锡,"
朱雀桥边野草花，乌衣巷口夕阳斜。 旧时王谢堂前燕，飞入寻常百姓家。
",唐代,译文朱雀桥边一些野草开花，乌衣巷口唯有夕阳斜挂。当年王导、谢安檐下的燕子，如今已飞进寻常百姓家中。注释朱雀桥：在金陵城外，乌衣巷在桥边。 在今南京市东南，在文德桥南岸，是三国东吴时的禁军驻地。由于当时禁军身着黑色军服，所以此地俗语称乌衣巷。在东晋时以王导、谢安两大家族，都居住在乌衣巷，人称其子弟为“乌衣郎”。入唐后，乌衣巷沦为废墟。现为民间工艺品的汇集之地。乌衣燕子，旧时王谢之家庭多燕子。今江苏省南京市江宁区，横跨秦淮河。寻常：平常。王谢：王导、谢安，晋相，世家大族，贤才众多，皆居巷中，冠盖簪缨，,《乌衣巷》这是唐朝诗人 刘禹锡感慨藏而不露，寄物咏怀的名篇，是组诗《金陵五题》中的一篇。诗人当时还没到过金陵，始终对这个六朝古都怀着憧憬，正好有友人将自己写的五首咏金陵古迹诗给他看，他便乘兴和了五首。乌衣巷原是六朝贵族居住的地方，最为繁华，如今有名的朱雀桥边竟长满野草，乌衣巷口也不见车马出入，只有夕阳斜照在昔日的深墙上。这是一首怀古诗。凭吊东晋时南京秦淮河上朱雀桥和南岸的乌衣巷的繁华鼎盛，而今野草丛生，荒凉残照。感慨沧海桑田，人生多变。以燕栖旧巢唤起人们想象，含而不露；以“野草花”、“夕阳斜”涂抹背景，美而不俗。语虽极浅，味却无限。施补华的,创作背景　　唐敬宗宝历二年（826年），刘禹锡由和州（今安徽省和县）刺史任上返回洛阳，途径金陵（今江苏省南京市），写了这一组咏怀古迹的诗篇，总名《金陵五题》，其中第二首即《乌衣巷》。,刘禹锡（772－842），字梦得，汉族，中国唐朝彭城（今徐州）人，祖籍洛阳，唐朝文学家，哲学家，自称是汉中山靖王后裔，曾任监察御史，是王叔文政治改革集团的一员。唐代中晚期著名诗人，有“诗豪”之称。他的家庭是一个世代以儒学相传的书香门第。政治上主张革新，是王叔文派政治革新活动的中心人物之一。后来永贞革新失败被贬为朗州司马（今湖南常德）。据湖南常德历史学家、收藏家周新国先生考证刘禹锡被贬为朗州司马其间写了著名的“汉寿城春望”。► 820篇诗文
75,和乐天春词,刘禹锡,"
新妆宜面下朱楼，深锁春光一院愁。 行到中庭数花朵，蜻蜓飞上玉搔头。
",唐代,译文浓妆艳抹打扮一新下红楼，深深庭院春光虽好只添愁。走到庭中查数新开的花朵，蜻蜓有情飞到了玉簪上头。注释春词：春怨之词。“春词”为白居易原诗题目。宜面：脂粉和脸色很匀称。一作“粉面”。朱楼：髹以红漆的楼房，多指富贵女子的居所。蜻蜓：暗指头上之香。玉搔头：玉簪，可用来搔头，故称。,"","",刘禹锡（772－842），字梦得，汉族，中国唐朝彭城（今徐州）人，祖籍洛阳，唐朝文学家，哲学家，自称是汉中山靖王后裔，曾任监察御史，是王叔文政治改革集团的一员。唐代中晚期著名诗人，有“诗豪”之称。他的家庭是一个世代以儒学相传的书香门第。政治上主张革新，是王叔文派政治革新活动的中心人物之一。后来永贞革新失败被贬为朗州司马（今湖南常德）。据湖南常德历史学家、收藏家周新国先生考证刘禹锡被贬为朗州司马其间写了著名的“汉寿城春望”。► 820篇诗文
76,马嵬坡,郑畋,"
玄宗回马杨妃死，云雨难忘日月新。终是圣明天子事，景阳宫井又何人。
",唐代,译文玄宗返回长安杨贵妃早已死，旧时恩爱难忘国家开始振兴。处死杨妃也是玄宗英明决策，不然就会步陈后主亡国后尘。注释马嵬（wéi ）坡：即马嵬驿，因晋代名将马嵬曾在此筑城而得名，在今陕西兴平市西，为杨贵妃缢死的地方。回马：指唐玄宗由蜀还长安。云雨：出自宋玉《高唐赋》“旦为朝云，暮为行雨”，后引申为男女欢爱。此句意谓玄宗、贵妃之间的恩爱虽难忘却，而国家却已一新。景阳宫井：故址在今江苏省南京市玄武湖边。南朝的昏昧陈后主陈叔宝听说隋兵已经攻进城来，就和宠妃张丽华、孙贵嫔躲在景阳宫井中，结果还是被隋兵俘虏。,这是一首咏史诗。诗的首两句写玄宗“回马长安”时，杨妃死已多时，意谓“重返”长安是以杨妃的死换来的。尽管山河依旧，然而却难忘怀“云雨”之情。“云雨难忘”与“日月新”对举，表达玄宗欣喜与长恨兼有的复杂心理。后两句以南朝陈后主偕宠妃张丽华、孔贵嫔躲在景阳宫的井中，终为隋兵所虏的事，对比唐玄宗马嵬坡赐杨贵妃自缢的举动，抑扬分明。诗对玄宗有体谅，也有婉讽。玄宗的举动虽胜陈后主，但所胜实在无几。此诗首句的“玄宗回马”，指大乱平定、两京收复之后，成了太上皇的玄宗从蜀中回返长安。其时距“杨妃死”已很久了。两下并提，意谓玄宗能重返长安，正是牺牲杨妃换来的。一存一殁，意味深长。玄宗,创作背景　　唐玄宗天宝十四年（755年），安禄山以诛奸相杨国忠为借口突然起兵，为起兵平叛，唐玄宗被迫无奈，被迫赐杨贵妃自缢，史称“马嵬之变”。郑畋作为唐僖宗朝在政治上颇有建树之人，对唐玄宗与杨贵妃之事颇有感慨。唐僖宗广明元年（880年）他在凤翔陇右节度使任上写下此诗。,郑畋（823-882），字台文，河南 荥阳人，会昌二年（842）进士及第。刘瞻镇北门，辟为从事。瞻作相，荐为翰林学士，迁中书舍人。乾符中，以兵部侍郎同平章事，寻出为凤翔节度使，拒巢贼有功，授检校尚书左仆射。诗一卷，。《全唐诗》录存十六首。性宽厚，能诗文。► 17篇诗文
77,寒食,韩翃,"
春城无处不飞花，寒食东风御柳斜。 日暮汉宫传蜡烛，轻烟散入五侯家。
",唐代,译文暮春长安城处处柳絮飞舞、落红无数，寒食节东风吹拂着皇城中的柳树。傍晚汉宫传送蜡烛赏赐王侯近臣，袅袅的轻烟飘散到天子宠臣的家中。注释春城：暮春时的长安城。寒食：古代在清明节前两天的节日，焚火三天，只吃冷食，所以称寒食。御柳：御苑之柳，皇城中的柳树。汉宫：这里指唐朝皇官。传蜡烛：寒食节普天下禁火，但权贵宠臣可得到皇帝恩的燃烛。《唐辇下岁时记》“清明日取榆柳之火以赐近臣”。五侯：汉成帝时封王皇后的五个兄弟王谭、王商、王立、王根、王逢时皆为候，受到特别的恩宠。这里泛指天子近幸之臣。,寒食是我国古代一个传统的节日，在清明前两天，是从春秋时传下来的，是晋文公为了怀念抱木焚死的介子推而定的。据孟棨《本事诗》记载：德宗时制诰缺乏人才，中书省提名请求御批，德宗批复说：“与韩翃”，当时有两个韩翃，于是中书省又以两人的名字同时进呈。德宗便批与写“春城无处不飞花”的韩翃。这虽是一段佳话，但足见《寒食》这首诗的广泛流传和受到的赏识。这是一首讽刺诗，但诗人的笔法巧妙含蓄。从表面上看，似乎只是描绘了一幅寒食节长安城内富于浓郁情味的风俗画。实际上，透过字里行间可感受到作者怀着强烈的不满，对当时权势显赫、作威作福的宦官进行,创作背景　　唐代制度，到清明这天，皇帝宣旨取榆柳之火赏赐近臣。这仪式用意有二：一是标志着寒食节已结束，可以用火了；二是藉此给臣子官吏们提个醒，让大家向有功也不受禄的介子推学习。中唐以后，几任昏君都宠幸宦官，以致他们的权势很大，败坏朝政，排斥朝官。有意见认为此诗正是因此而发。,韩翃，唐代诗人。字君平，南阳（今河南南阳）人。是“大历十才子”之一。天宝13年（754）考中进士，宝应年间在淄青节度使侯希逸幕府中任从事，后随侯希逸回朝，闲居长安十年。建中年间，因作《寒食》诗被唐德宗所赏识，因而被提拔为中书舍人。韩翃诗笔法轻巧，写景别致，在当时传诵很广。► 180篇诗文
78,已凉,韩偓,"
碧阑干外绣帘垂，猩血屏风画折枝。 八尺龙须方锦褥，已凉天气未寒时。
",唐代,译文翠绿色的栏杆外绣帘儿低垂，猩红的屏风上画着草木花卉。龙须草织成的席子铺上锦褥，天气已凉却还未到寒冷时候。注释绣帘：一作“翠帘”。猩血：一作“猩色”，猩红色。屏风：一种用来遮挡和做隔断的东西。画折枝：一作“画柘枝”，指图绘花卉草木。龙须：属灯心草科，茎可织席。这里指草席。,"","",韩偓（公元842年～公元923年）。中国唐代诗人。乳名冬郎，字致光，号致尧，晚年又号玉山樵人。陕西万年县（今樊川）人。自幼聪明好学，10岁时，曾即席赋诗送其姨夫李商隐，令满座皆惊，李商隐称赞其诗是“雏凤清于老凤声”。龙纪元年(889年)，韩偓中进士，初在河中镇节度使幕府任职，后入朝历任左拾遗、左谏议大夫、度支副使、翰林学士。► 341篇诗文
79,送杜少府之任蜀州 / 送杜少府之任蜀川,王勃,"
城阙辅三秦，风烟望五津。与君离别意，同是宦游人。海内存知己，天涯若比邻。无为在歧路，儿女共沾巾。
",唐代,译文三秦之地护卫着巍巍长安，透过那风云烟雾遥望着蜀川。和你离别心中怀着无限情意，因为我们同是在宦海中浮沉。四海之内有知心朋友，即使远在天边也如近在比邻。绝不要在岔路口上分手之时，像小儿女那样悲伤泪湿佩巾。注释少府：官名。之：到、往。蜀州：今四川崇州。城阙（què ）辅三秦：城阙，即城楼，指唐代京师长安城。辅，护卫。三秦，指长安城附近的关中之地，即今陕西省潼关以西一带。秦朝末年，项羽破秦，把关中分为三区，分别封给三个秦国的降将，所以称三秦。这句是倒装句，意思是京师长安三秦作保护。五津：指岷江的五个渡口,首联属“工对”中的“地名对”，极壮阔，极精整。第一句写长安的城垣、宫阙被辽阔的三秦之地所“辅”（护持、拱卫），气势雄伟，点送别之地。第二句里的“五津”指岷江的五大渡口白华津、万里津、江首津、涉头津、江南津，泛指“蜀川”，点杜少府即将宦游之地；而“风烟”、“望”，又把相隔千里的秦、蜀两地连在一起。自长安遥望蜀川，视线为迷蒙的风烟所遮，微露伤别之意，已摄下文“离别”、“天涯”之魂。因首联已对仗工稳，为了避免板滞，故次联以散调承之，文情跌宕。“与君离别意”承首联写惜别之感，欲吐还吞。翻译一下，那就是：“跟你离别的意绪啊！……”那意绪怎么样，没有说；立刻改口，来了个转折,创作背景　　《送杜少府之任蜀州》是作者在长安时所写。这位姓杜的少府将到四川去上任，王勃在长安相送，临别时赠送给他这首送别诗。,王勃（649或650～676或675年），唐代诗人。汉族，字子安。绛州龙门(今山西河津)人。王勃与杨炯、卢照邻、骆宾王齐名，世称“初唐四杰”，其中王勃是“初唐四杰”之首。唐高宗上元三年（676年）八月，自交趾探望父亲返回时，不幸渡海溺水，惊悸而死。王勃在诗歌体裁上擅长五律和五绝，代表作品有《送杜少府之任蜀州》等；主要文学成就是骈文，无论是数量还是质量，堪称一时之最，代表作品有《滕王阁序》等。► 86篇诗文
80,送梓州李使君,王维,"
万壑树参天，千山响杜鹃。山中一夜雨，树杪百重泉。汉女输橦布，巴人讼芋田。文翁翻教授，不敢倚先贤。
",唐代,译文万壑古树高耸云天，千山深处杜鹃啼啭。山中春雨一夜未停，树丛梢头流淌百泉。汉女辛劳织布纳税，巴人地少诉讼争田。望你发扬文翁政绩，奋发有为不负先贤。注释梓州：《唐诗正音》作“东川”。梓州是隋唐州名，治所在今四川三台。李使君：李叔明，先任东川节度使、遂州刺史，后移镇梓州。壑（hè）：山谷。杜鹃：鸟名，一名杜宇，又名子规。一夜雨：一作“一半雨”。树杪（miǎo）：树梢。汉女：汉水的妇女。橦（tóng）布：橦木花织成的布，为梓州特产。巴：古国名，,赠别之作，多从眼前景物写起，即景生情，抒发惜别之意。王维此诗，立意则不在惜别，而在劝勉，因而一上来就从悬想着笔，遥写李使君赴任之地梓州的自然风光，形象逼真，气韵生动，令人神往。开头两句互文见义，起得极有气势：万壑千山，到处是参天的大树，到处是杜鹃的啼声。既有视觉形象，又有听觉感受，读来使人恍如置身其间，大有耳目应接不暇之感。这两句气象阔大，神韵俊迈，被后世诗评家引为律诗工于发端的范例。“万壑树参天，千山响杜鹃”，以如椽大笔，淋漓泼墨，勾勒出巴蜀层峦叠嶂的群山、无数险峻深邃的岩壑、高耸云天的林木，同时还有一片杜鹃热闹如沸的啼鸣，使万壑千岩为之振响。如同展开一卷气势,创作背景　　这是一首送别之作。李使君当是初往梓州（治今四川三台）赴任，王维写此诗相赠。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
81,汉江临泛 / 汉江临眺,王维,"
楚塞三湘接，荆门九派通。江流天地外，山色有无中。郡邑浮前浦，波澜动远空。襄阳好风日，留醉与山翁。
",唐代,译文汉江流经楚塞又折入三湘，西起荆门往东与九江相通。远望江水好像流到天地外，近看山色缥缈若有若无中。岸边都城仿佛在水面浮动，水天相接波涛滚滚荡云空。襄阳的风光的确令人陶醉，我愿在此地酣饮陪伴山翁。注释汉江：即汉水，流经陕西汉中、安康，湖北十堰、襄阳、荆门、潜江、仙桃、孝感，到汉口流入长江。诗题在元代方回的《瀛奎律髓》中题名为“汉江临眺”，临眺，登高远望。汉江从襄阳城中流过，把襄阳与樊城一分为二（合称“襄樊”），以及襄樊周围大大小小的无数城郭（包括襄阳城门外的许多“瓮城”），一个个都像在眼前的水道两旁漂浮。临泛江,"",创作背景公元740年（唐玄宗开元二十八年），时任殿中侍御史的王维，因公务去南方，途径襄阳。此诗是诗人在襄阳城欣赏汉江景色时所作。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
82,终南别业,王维,"
中岁颇好道，晚家南山陲。兴来每独往，胜事空自知。行到水穷处，坐看云起时。偶然值林叟，谈笑无还期。
",唐代,译文中年以后存有较浓的好道之心，直到晚年才安家于终南山边陲。兴趣浓时常常独来独往去游玩，有快乐的事自我欣赏自我陶醉。间或走到水的尽头去寻求源流，间或坐看上升的云雾千变万化。偶然在林间遇见个把乡村父老，偶与他谈笑聊天每每忘了还家。注释①中岁：中年。好（hào）：喜好。道：这里指佛教。②家：安家。南山：即终南山。陲（chuí）：边缘，旁边，边境；南山陲，指辋 川别墅所在地，意思是终南山脚下。③胜事：美好的事。④值：遇到。叟（sǒu）：老翁。⑤无还期：没有回还的准确时间,全诗的着眼点在于抒发对自得其乐的闲适情趣的向往。开篇二句，由“中岁好道”“晚家南山”点明诗人隐居奉佛的人生归宿和思想皈依。“道”，指佛家道义之精髓，即“万法皆空”思想。“中岁颇好道”，作者强调自中年起，他就已倾心佛法了，随着时间的推移，这种倾向会越来越加剧，反映出他对尘世越来越厌倦，这与其人生际遇密切相关。一个“颇”字，点明其崇佛的虔诚心态。“晚”字，意蕴丰富，既可以指“晚近”，也可以指“晚年”。如果是前者，“晚家南山陲”是对现实隐居生活的描绘；如果是后者，则是对自己晚景的构想。山林的生活自在无比，兴致来临之际，每每独往山中信步闲走，那快意自在的感受只有诗人自己,创作背景　　此诗大约写于唐肃宗乾元元年（758）之后，是王维晚年的作品。王维晚年官至尚书右丞，职务不小。其实，由于政局变化反复，他早已看到仕途的艰险，便想超脱这个烦扰的尘世。他吃斋奉佛，悠闲自在，大约四十岁后，就开始过着亦官亦隐的生活。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。► 446篇诗文
